역 명,평일(일평균),토요일,일요일
신도림,"308,203","281,102","203,530"
사당,"239,386","222,765","161,239"
동대문역사문공원,"226,623","212,853","143,668"
종로3가,"209,243","228,108","133,695"
교대,"175,438","152,989","96,981"
고속터미널,"157,425","153,956","103,145"
서울역,"132,513","148,594","101,410"
잠실,"129,370","101,229","70,855"
충무로,"122,861","122,716","76,636"
합정,"118,752","95,969","69,315"
건대입구,"110,185","105,980","74,475"
영등포구청,"107,911","81,402","56,060"
총신대입구,"106,040","104,556","71,343"
왕십리,"105,683","91,920","65,988"
당산,"105,031","82,118","58,216"
대림,"101,002","78,960","57,305"
선릉,"84,603","66,105","42,150"
동대문,"84,041","93,178","56,054"
삼각지,"83,197","81,056","56,244"
을지3가,"79,080","85,382","51,739"
홍대입구,"73,225","75,741","52,749"
창동,"67,237","56,909","45,909"
시청,"66,311","75,071","48,579"
약수,"53,911","48,800","32,109"
옥수,"53,474","50,346","34,651"
신당,"52,124","45,646","31,980"
동작,"51,328","45,453","31,359"
강남,"50,800","37,182","23,888"
동묘,"50,340","48,056","33,744"
노원,"43,481","36,399","27,683"
이촌,"43,193","45,128","35,546"
도곡,"41,062","33,976","21,280"
수서,"40,253","34,127","22,492"
청량리,"39,856","37,952","27,678"
양재,"39,293","35,645","20,118"
오금,"37,162","27,127","17,947"
연신내,"26,508","21,480","16,316"
가락시장,"25,782","19,138","13,338"
까치산,"21,862","16,931","13,002"
불광,"20,975","17,216","13,897"
충정로,"20,973","19,303","10,646"
성수,"17,624","13,920","10,816"
종합운동장,"14,796","14,290","8,960"
신설동,"13,172","12,074","9,549"
을지4가,"11,756","8,776","5,368"
