"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202408","1호선","동대문","377","11","10496","1714","8449","6119","14123","10056","19651","18249","19532","19798","18112","22152","19089","25183","22824","24756","23992","22538","23928","22090","24381","21174","25780","21298","25407","21163","22836","21460","16598","19198","14717","14756","12872","13768","9643","13129","4891","8678","788","2474","4","252","0","0","0","0","20240903"
"202408","1호선","동묘앞","190","3","2817","1051","3474","5084","8230","8524","13531","18177","12194","17600","14139","22231","18952","26487","25095","26826","26339","27775","28085","24682","27814","22487","30099","19117","25744","15609","19849","12959","10672","9020","5968","6118","4823","6431","3329","6660","1139","4548","114","1734","1","209","0","0","0","0","20240903"
"202408","1호선","서울역","638","20","8351","8709","13572","53281","38697","113531","68355","235070","64821","151997","64572","85484","81815","79164","96003","86439","89789","84043","79364","74177","104465","79078","115910","80976","184842","90512","225876","93903","114741","64005","84567","45334","87204","40846","54620","27965","26566","12715","2750","3805","0","195","0","0","0","0","20240903"
"202408","1호선","시청","51","4","1913","5068","3880","24339","7694","73013","11105","189820","13904","82174","16935","42170","22688","40610","23551","37707","27196","37263","35209","29855","46197","25937","55787","25617","90844","26457","155815","24277","58474","13098","51318","9236","45038","8885","27266","6169","8882","3760","458","976","2","31","0","0","0","0","20240903"
"202408","1호선","신설동","263","22","9154","2446","9760","9764","21316","24862","29923","53429","20854","31749","19243","20591","20339","18213","21971","18358","22512","18313","21190","17118","23618","19288","28595","21204","40598","23994","51451","30862","19780","21865","13937","15986","12021","14757","8472","13318","3619","9141","374","2635","0","4","0","1","0","0","20240903"
"202408","1호선","제기동","340","5","5292","2677","9399","10246","21952","22420","31908","39717","24396","34629","26775","36194","31389","37906","34883","39618","34567","40241","35220","36457","38774","31902","42801","32406","42530","27944","39376","26918","21481","17582","14447","11896","8817","10944","5475","9127","2327","5878","196","1432","0","0","0","0","0","0","20240903"
"202408","1호선","종각","125","6","4026","6046","4190","32631","6867","114700","10586","271026","13810","140028","19762","62834","29243","57136","35596","51179","42921","48631","54421","41089","62177","37256","78946","40448","155627","46459","216065","48527","91568","24525","78823","13126","80721","9665","58075","7243","24688","4490","1658","1194","1","7","0","0","0","0","20240903"
"202408","1호선","종로3가","155","6","3870","3021","3875","13177","5684","26758","9806","63304","14245","62402","21624","53476","31634","59395","41747","57635","44557","54336","48676","45688","55114","38710","64985","38495","78599","36243","86833","37525","51493","20120","43678","11328","45416","9187","34277","7555","14877","4662","1390","2184","3","281","0","0","0","0","20240903"
"202408","1호선","종로5가","45","2","2011","3300","3103","16310","5766","40565","10064","94274","15294","62086","26645","55416","36972","55266","43567","50025","49062","45662","53690","43335","55870","36652","61372","36043","82109","32559","90478","30662","44524","18052","31584","10490","28913","7214","17890","5558","4955","3478","346","824","0","0","0","0","0","0","20240903"
"202408","1호선","청량리(서울시립대입구)","1198","17","11131","2962","18703","11177","48787","17666","56851","38291","37452","35717","34092","40618","38893","46331","43268","47762","43555","46906","44349","45533","48211","44506","53463","47436","52562","48733","46012","58274","27024","37339","20761","23172","15166","22150","9718","18746","3929","11457","223","3295","0","4","0","0","0","0","20240903"
