"사용월","호선명","지하철역","유임승차인원","무임승차인원","유임하차인원","무임하차인원","작업일자"
"202408","1호선","신설동","283898","115092","275451","112469","20240903"
"202408","1호선","제기동","224270","248075","212464","263675","20240903"
"202408","1호선","청량리(서울시립대입구)","376838","278510","364622","283470","20240903"
"202408","1호선","동묘앞","143866","138732","144748","138584","20240903"
"202408","1호선","서울역","1407719","199799","1321125","190124","20240903"
"202408","1호선","시청","606007","98200","610797","95669","20240903"
"202408","1호선","종각","930928","138968","928840","129406","20240903"
"202408","1호선","종로3가","441611","260927","405377","240111","20240903"
"202408","1호선","종로5가","436990","227270","426999","220774","20240903"
"202408","1호선","동대문","223591","114899","216447","113569","20240903"
"202408","공항철도 1호선","공항화물청사","47585","10253","53918","10025","20240903"
"202408","공항철도 1호선","인천공항2터미널","222851","35502","180733","31769","20240903"
"202408","공항철도 1호선","영종","103199","21926","104693","21947","20240903"
"202408","공항철도 1호선","김포공항","271936","25028","159237","16400","20240903"
"202408","공항철도 1호선","서울역","408793","35505","370457","32140","20240903"
"202408","공항철도 1호선","마곡나루(서울식물원)","276002","15821","260890","15568","20240903"
"202408","공항철도 1호선","디지털미디어시티","346333","28232","324273","26654","20240903"
"202408","공항철도 1호선","홍대입구","461610","20009","446186","18664","20240903"
"202408","공항철도 1호선","공덕","78216","9185","104512","10822","20240903"
"202408","공항철도 1호선","계양","338389","37505","318861","36310","20240903"
"202408","공항철도 1호선","검암","164110","16566","169392","16781","20240903"
"202408","공항철도 1호선","청라국제도시","196227","14571","186281","14525","20240903"
"202408","공항철도 1호선","운서","257259","30918","274736","30934","20240903"
"202408","공항철도 1호선","인천공항1터미널","454865","48117","416626","44919","20240903"
"202407","1호선","서울역","1448788","209095","1366295","198181","20240803"
"202407","1호선","시청","650741","91543","658399","87954","20240803"
"202407","1호선","종각","997215","148133","991450","138832","20240803"
"202407","1호선","종로3가","476755","278442","440368","257534","20240803"
"202407","1호선","종로5가","455951","243737","446910","237639","20240803"
"202407","1호선","동대문","230882","124946","223755","125043","20240803"
"202407","1호선","신설동","303678","119799","294120","117300","20240803"
"202407","1호선","제기동","239978","249675","228808","265506","20240803"
"202407","1호선","청량리(서울시립대입구)","399832","278559","381968","281373","20240803"
"202407","1호선","동묘앞","148067","146212","150264","147314","20240803"
"202407","공항철도 1호선","홍대입구","464958","20869","448273","19531","20240803"
"202407","공항철도 1호선","영종","104771","23078","106296","22980","20240803"
"202407","공항철도 1호선","인천공항2터미널","204344","22883","176090","19861","20240803"
"202407","공항철도 1호선","인천공항1터미널","430404","40441","417387","37593","20240803"
"202407","공항철도 1호선","공항화물청사","49982","10694","55173","10623","20240803"
"202407","공항철도 1호선","운서","259107","32140","271910","32096","20240803"
"202407","공항철도 1호선","청라국제도시","208362","15634","196563","15412","20240803"
"202407","공항철도 1호선","검암","172311","17273","178145","17575","20240803"
"202407","공항철도 1호선","계양","355778","39041","335014","37470","20240803"
"202407","공항철도 1호선","김포공항","281581","22989","163286","14885","20240803"
"202407","공항철도 1호선","마곡나루(서울식물원)","304878","17416","289900","17271","20240803"
"202407","공항철도 1호선","디지털미디어시티","378853","29962","356063","27996","20240803"
"202407","공항철도 1호선","공덕","81837","9385","108449","11018","20240803"
"202407","공항철도 1호선","서울역","389752","35731","352996","32354","20240803"
"202406","1호선","서울역","1375235","217760","1312172","208410","20240703"
"202406","1호선","동묘앞","156165","163273","161457","162912","20240703"
"202406","1호선","청량리(서울시립대입구)","397655","287057","379680","290189","20240703"
"202406","1호선","제기동","230693","262223","220271","280041","20240703"
"202406","1호선","신설동","287903","122597","276799","118990","20240703"
"202406","1호선","동대문","231365","129109","226540","130444","20240703"
"202406","1호선","종로5가","440595","248630","432871","242504","20240703"
"202406","1호선","종로3가","471522","287153","426339","264801","20240703"
"202406","1호선","종각","914353","146932","912364","137905","20240703"
"202406","1호선","시청","623388","97573","630661","95530","20240703"
"202406","공항철도 1호선","마곡나루(서울식물원)","293379","18374","281699","19092","20240703"
"202406","공항철도 1호선","디지털미디어시티","345027","29854","326193","28194","20240703"
"202406","공항철도 1호선","공덕","76784","9197","104522","11119","20240703"
"202406","공항철도 1호선","서울역","392988","37978","356279","34158","20240703"
"202406","공항철도 1호선","홍대입구","432512","21208","417261","19611","20240703"
"202406","공항철도 1호선","영종","100629","24230","103407","24349","20240703"
"202406","공항철도 1호선","인천공항2터미널","200319","20333","171343","17400","20240703"
"202406","공항철도 1호선","인천공항1터미널","417830","42447","405982","39172","20240703"
"202406","공항철도 1호선","공항화물청사","46336","10065","52231","10114","20240703"
"202406","공항철도 1호선","운서","252231","34001","266881","34117","20240703"
"202406","공항철도 1호선","청라국제도시","196417","16200","185470","15871","20240703"
"202406","공항철도 1호선","검암","163811","18437","170682","19235","20240703"
"202406","공항철도 1호선","계양","336281","40545","318499","38819","20240703"
"202406","공항철도 1호선","김포공항","285757","24704","153947","15826","20240703"
"202405","1호선","서울역","1479117","236809","1428188","228836","20240603"
"202405","1호선","동묘앞","176547","175272","186029","177168","20240603"
"202405","1호선","청량리(서울시립대입구)","425934","303795","410468","305873","20240603"
"202405","1호선","제기동","249016","283615","238896","303596","20240603"
"202405","1호선","신설동","309545","127360","297637","123519","20240603"
"202405","1호선","동대문","245573","131145","241712","131760","20240603"
"202405","1호선","종로5가","490609","268475","478781","260570","20240603"
"202405","1호선","종로3가","519210","306638","467584","280264","20240603"
"202405","1호선","종각","989168","162080","970072","151268","20240603"
"202405","1호선","시청","691098","107105","693899","103074","20240603"
"202405","공항철도 1호선","마곡나루(서울식물원)","302557","20775","289807","21341","20240603"
"202405","공항철도 1호선","디지털미디어시티","375601","32082","350876","29981","20240603"
"202405","공항철도 1호선","홍대입구","463385","22461","446277","20736","20240603"
"202405","공항철도 1호선","공덕","76632","9616","105256","11755","20240603"
"202405","공항철도 1호선","서울역","405252","41070","364837","36978","20240603"
"202405","공항철도 1호선","영종","105305","25766","106978","25685","20240603"
"202405","공항철도 1호선","인천공항2터미널","200631","19025","168082","16407","20240603"
"202405","공항철도 1호선","인천공항1터미널","419199","42597","402138","39606","20240603"
"202405","공항철도 1호선","공항화물청사","48340","10441","59032","10408","20240603"
"202405","공항철도 1호선","운서","259261","35843","273612","35959","20240603"
"202405","공항철도 1호선","청라국제도시","208220","17358","197663","17229","20240603"
"202405","공항철도 1호선","검암","176223","20361","182992","21248","20240603"
"202405","공항철도 1호선","계양","360070","42671","339675","40663","20240603"
